@kokehtz|[40.4777945, -3.7035075]|Thu Jul 05 11:05:35 +0000 2018|b'Nebulosa Propeller (abajo a la derecha) en la constelaci\xc3\xb3n del cisne. Son solo 9x600s en Ha, ya que vinieron nubes\xe2\x80\xa6 https://t.co/Bg2LkWbxfa'
@Thrashassacre|[40.4462525, -3.9899359999999997]|Thu Jul 05 11:05:44 +0000 2018|b"@swallowtheskies on me voit vite fait normalement, mais vu que j'ai ma casquette noire difficile de me r\xc3\xa9p\xc3\xa9rer haha"
@InstitutoRoche|[40.4777945, -3.7035075]|Thu Jul 05 11:05:49 +0000 2018|b'@AGUSTINZERON As\xc3\xad es! En los pr\xc3\xb3ximos meses publicaremos un informe de Medicina Preventiva Personalizada, como part\xe2\x80\xa6 https://t.co/chwPhpJ27J'
@JC_28_SP|[40.4777945, -3.7035075]|Thu Jul 05 11:05:54 +0000 2018|b'En que quedamos, echado, expulsado, dimitido o huido. Que memeces escriben en @voz_populi https://t.co/d6R25Y7qzN'
@9_legido|[40.5570395, -3.263531]|Thu Jul 05 11:06:08 +0000 2018|b'Cs Azuqueca muestra su indignaci\xc3\xb3n por el uso partidista de la revista Azucahica pagada por todos los azudenses https://t.co/AxMxXNyvtx'
@j02uanca|[39.964400499999996, -3.5085145]|Thu Jul 05 11:06:12 +0000 2018|b'Est\xc3\xa1 mierda totalitaria era la libertad y pluralidad q exig\xc3\xadan esos "trabajadores" sectarios q ya no se manifiestan\xe2\x80\xa6 https://t.co/GPpePzUly0'
@rociopita2|[40.6137885, -3.7391049999999995]|Thu Jul 05 11:06:25 +0000 2018|b'@rafjuan @LANACION La verdad que s\xc3\xad...\xc2\xa1\xc2\xa1hay tanto que cambiar, limar, amoldar...!!'
@CharlesFurudo|[40.4777945, -3.7035075]|Thu Jul 05 11:06:31 +0000 2018|b'De a\xc3\xb1o en a\xc3\xb1o casi, pero las que valen valen siempre \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c en Community of Madrid https://t.co/gGAfHMibtu'
@mariaylaurajams|[40.4777945, -3.7035075]|Thu Jul 05 11:06:43 +0000 2018|b'No comments https://t.co/HLgCQUf1KU'
@mvalderramac|[40.4777945, -3.7035075]|Thu Jul 05 11:06:45 +0000 2018|b'\xc3\x81lvaro, en serio, h\xc3\xa1ztelo mirar. https://t.co/prbbxHVsXj'
@Hinojosa_20|[40.319903499999995, -3.893226]|Thu Jul 05 11:06:45 +0000 2018|b'@Falix142 ajajajajajajajajajaj ha sido buenisima hermano'
@Tornarugby|[40.4777945, -3.7035075]|Thu Jul 05 11:06:46 +0000 2018|b'@jalasheras @OKtheJamOnes @hookerdiferente @AlonsoFonfo Noviembre de 2001. No lo recuerdo, pas\xc3\xa9 el partido en la zo\xe2\x80\xa6 https://t.co/hdm8CNbD9f'
@yustres2|[40.4777945, -3.7035075]|Thu Jul 05 11:06:49 +0000 2018|b'@anadiazgalvez Yo m\xc3\xa1s jejejeje'
@Licantropismo|[40.319903499999995, -3.893226]|Thu Jul 05 11:06:50 +0000 2018|b'@SergioGon13 pues como t\xc3\xba con la tuya, ya sabes... por gordo... la barriga y eso'
@rafa_lebiedz24|[40.4777945, -3.7035075]|Thu Jul 05 11:06:50 +0000 2018|b'@mbork88 @plangier Przeciez on juz nie musi bazowac na szybkosci. Gra w polu karnym - czuje pilke, dobry strzal z o\xe2\x80\xa6 https://t.co/N6evByBe6g'
@FanFH34Mariners|[40.470688499999994, -3.461792]|Thu Jul 05 11:06:52 +0000 2018|b'@7Sempiterno7 Y el Despertado Es ?????????. Te Lo Puedo Tomar Prestado?????'
@RogerSerranoS|[40.4777945, -3.7035075]|Thu Jul 05 11:06:57 +0000 2018|b'Series + comprar agua y arroz. . 3x4+3x2+3x1 . #fatandfurious #fatandfuriousinmadrid #bike #roadbike #madrid\xe2\x80\xa6 https://t.co/EAVADnOOeB'
@Andy88834880|[40.4777945, -3.7035075]|Thu Jul 05 11:06:57 +0000 2018|b'Incre\xc3\xadble. El nuevo logo de @tve_tve. La televisi\xc3\xb3n de @ahorapodemos, la va a ver su puta madre... https://t.co/J253YEdFQ2'
@kokehtz|[40.4777945, -3.7035075]|Thu Jul 05 11:06:58 +0000 2018|b'@CrissCorone Ser\xc3\xada una grand\xc3\xadsima noticia \xf0\x9f\xa4\x97'
@Notasvarias|[40.4777945, -3.7035075]|Thu Jul 05 11:07:00 +0000 2018|b'@EPMadrid @Cs_Madrid Vaya, parece que Ciudadanos est\xc3\xa1 enredado en el caso "Enredadera". Como cont\xc3\xa1bamos de ni\xc3\xb1os: C\xe2\x80\xa6 https://t.co/mvzjKEgiVk'
@Auri_Martin|[40.4777945, -3.7035075]|Thu Jul 05 11:07:03 +0000 2018|b'Venga que despu\xc3\xa9s del tercer caf\xc3\xa9 veo un poco m\xc3\xa1s positivo el mundo.  (Y que es jueves) https://t.co/LimwPcurrS'
@trendinaliaES|[40.4777945, -3.7035075]|Thu Jul 05 11:07:04 +0000 2018|b"'La Euroc\xc3\xa1mara' acaba de convertirse en TT ocupando la 9\xc2\xaa posici\xc3\xb3n en Espa\xc3\xb1a. M\xc3\xa1s en https://t.co/K5DFqqcseW https://t.co/EHawa5dDmB"
@copetrackfilms|[40.300152499999996, -3.444793]|Thu Jul 05 11:07:05 +0000 2018|b'Filmax Entertainment Solo Tr\xc3\xa1iler Oficial (ve) En Cines El 3 De Agosto https://t.co/8E7j9JbBy7 #cptrck'
@Hinojosa_20|[40.319903499999995, -3.893226]|Thu Jul 05 11:07:07 +0000 2018|b'@_falloutirene muertisimo ya jajajajaj'
@nachetejidg|[40.524724, -3.8161535]|Thu Jul 05 11:07:10 +0000 2018|b'@ea_bo2 \xd9\x86\xd8\xb9\xd9\x85 ... \xd9\x88\xd9\x84\xd9\x83\xd9\x86 \xd9\x81\xd9\x8a \xd9\x83\xd9\x84 \xd9\x85\xd8\xb1\xd8\xa9 \xd9\x86\xd8\xaa\xd9\x88\xd8\xa7\xd8\xb5\xd9\x84 \xd8\xa3\xd9\x82\xd9\x84 \xd9\x87\xd8\xb0\xd8\xa7 .. \xd9\x84\xd8\xa7 \xd9\x8a\xd8\xb9\xd9\x85\xd9\x84 .. \xd8\xb3\xd9\x88\xd9\x81 \xd8\xaa\xd8\xae\xd8\xaa\xd9\x81\xd9\x8a \xd9\x82\xd8\xb1\xd9\x8a\xd8\xa8\xd8\xa7 .. \xd8\xa5\xd8\xb0\xd8\xa7 \xd9\x84\xd9\x85 \xd9\x8a\xd8\xba\xd9\x8a\xd8\xb1 \xd9\x85\xd9\x88\xd9\x82\xd9\x81\xd9\x87'
@mariaylaurajams|[40.4777945, -3.7035075]|Thu Jul 05 11:07:13 +0000 2018|b'https://t.co/DpIO25FZsb'
@riverDTbulls|[40.4777945, -3.7035075]|Thu Jul 05 11:07:14 +0000 2018|b'@mxllekatcho \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
@cheras48|[40.4777945, -3.7035075]|Thu Jul 05 11:07:16 +0000 2018|b'@24h_tve Es el eslab\xc3\xb3n con torra, estoy seguro'
@CotiLambertucci|[40.4777945, -3.7035075]|Thu Jul 05 11:07:25 +0000 2018|b'Mar\xc3\xada Dolores Mateo (68) e Isabel Roble (62) aseguran que dan su "apoyo total" a quien gane las #PrimariasPP. "La u\xe2\x80\xa6 https://t.co/XJPiilenLj'
@hugosesentaocho|[40.4777945, -3.7035075]|Thu Jul 05 11:07:33 +0000 2018|b'@igorirrintzi @FNFFranco Te compro la C, pero no la U. Saludos'
@tuchopalacios|[40.4115515, -3.369497]|Thu Jul 05 11:07:44 +0000 2018|b'Feliz cumplea\xc3\xb1os majeton, me lo han hivado los de Metro de Madrid, les da corte felicitarte...@AlbBarrantes https://t.co/dcHiBlkyHm'
@pcmMadrid|[40.524724, -3.8161535]|Thu Jul 05 11:07:44 +0000 2018|b'\xf0\x9f\x93\xa2@FundacionTH busca T\xc3\xa9cnico Asociado de Laboratorio (FP) \xf0\x9f\x91\x89Todos los detalles en https://t.co/lc1s9HXGyk \xf0\x9f\x93\xa8Hasta el 1\xe2\x80\xa6 https://t.co/5LuQ2TlgaJ'
@LGruneiro|[40.4777945, -3.7035075]|Thu Jul 05 11:07:46 +0000 2018|b'Sindrome campamento modo ON'
@rafa_lebiedz24|[40.4777945, -3.7035075]|Thu Jul 05 11:07:46 +0000 2018|b'@marcinoino95 @mbork88 @plangier Pozwol ze bede mial watpliwosci co do jego milosci do Serie A'
@PsoeGetafe|[40.3005505, -3.665667]|Thu Jul 05 11:07:51 +0000 2018|b'La ALEF #Getafe abre el plazo de contrataci\xc3\xb3n de 12 profesorxs para un proyecto de #formaci\xc3\xb3n https://t.co/MnYCsjEY8C'
@KuBeCr|[40.524749, -3.891385]|Thu Jul 05 11:07:52 +0000 2018|b'quien se me uneeee? https://t.co/C5S5amHR9k'
@mariaylaurajams|[40.4777945, -3.7035075]|Thu Jul 05 11:07:53 +0000 2018|b'https://t.co/jodAegVU3P'
@kino_85|[40.4777945, -3.7035075]|Thu Jul 05 11:07:59 +0000 2018|b'@DanielBF91 @Itaike69 Yo voy a salir hoy y creo que voy a beber lo que no pude ayer y lo de hoy.'
@rafa_lebiedz24|[40.4777945, -3.7035075]|Thu Jul 05 11:08:00 +0000 2018|b'@mateusczarny @mbork88 @plangier \xf0\x9f\xa7\x90'
@Ariadna_L24|[40.4777945, -3.7035075]|Thu Jul 05 11:08:06 +0000 2018|b'Malasa\xc3\xb1a mola mucho para salir pero para conducir es un puto caos t\xc3\xado'
@Ya_esta_bien|[40.1809345, -3.654526]|Thu Jul 05 11:08:10 +0000 2018|b'Odio ponerme borde con la gente.  Pero odio m\xc3\xa1s que la gente solo funcione as\xc3\xad.'
@franju|[40.524724, -3.8161535]|Thu Jul 05 11:08:20 +0000 2018|b'El pacto, que afectar\xc3\xa1 a unos 10 millones de trabajadores y trabajadoras con convenio colectivo, y que tendr\xc3\xa1 vigen\xe2\x80\xa6 https://t.co/NIBti9lw34'
@Alejandrarojo81|[40.4777945, -3.7035075]|Thu Jul 05 11:08:25 +0000 2018|b'@CkjMadrid @NRC_Norway @ClimateKIC @EITeu @iberdrola @PhilipsSpain @itdupm Thank you for inviting me along. It was\xe2\x80\xa6 https://t.co/6YfbqnTwFr'
@Licantropismo|[40.319903499999995, -3.893226]|Thu Jul 05 11:08:25 +0000 2018|b'@SergioGon13 los chistes de gordo entran muy bien, ni como t\xc3\xba'
@Mrflawless25|[40.416980499999994, -3.8953235]|Thu Jul 05 11:08:27 +0000 2018|b'@Cris_Reynolds Uf\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d'
@IvanVelez72|[40.524724, -3.8161535]|Thu Jul 05 11:08:27 +0000 2018|b'@hermanntertsch @suavemaremagno Dec\xc3\xada lo mismo sobre la televisi\xc3\xb3n, pues no en vano televisi\xc3\xb3n y democracia de merc\xe2\x80\xa6 https://t.co/N6hqwtRcnj'
@Jorge82MD|[40.4777945, -3.7035075]|Thu Jul 05 11:08:30 +0000 2018|b'Nuevas gu\xc3\xadas de tratamiento de #VHC https://t.co/UaG3HW1aKs #SEMItuit #SEIMC'
@Licantropismo|[40.319903499999995, -3.893226]|Thu Jul 05 11:08:47 +0000 2018|b'@SergioGon13 los chistes de gordo entran muy bien, no como t\xc3\xba'
@rafa_lebiedz24|[40.4777945, -3.7035075]|Thu Jul 05 11:08:50 +0000 2018|b'@ArkadiuszT @mbork88 @plangier Ze strony Juve - swietny ruch marketingowy. Tu nie ma dyskusji'
@mariteremoto|[40.496023, -3.3656230000000003]|Thu Jul 05 11:09:01 +0000 2018|b'Me hago una pregunta , Pedro S\xc3\xa1nchez se presenta a las primarias del PP ? Es que do\xc3\xb1a finiquito en diferido lo atac\xe2\x80\xa6 https://t.co/qyeGWFShGY'
